model,dynamic,formula,alorithm,bound,encoding_time,smt_solving_time,model_checking_result
airplain,ode,f1,new,1,0.004012243,0.0497997,counterexample found
airplain,ode,f1,new,2,0.006037439,0.084904039,counterexample found
airplain,ode,f1,new,3,0.007004492,43.09379633,counterexample found
airplain,ode,f1,new,4,0.009455742,185.5029208,counterexample found
airplain,ode,f2,new,1,0.003834884,0.048019029,no counterexample
airplain,ode,f2,new,2,0.004877481,0.07998071,no counterexample
airplain,ode,f2,new,3,0.006982983,0.162416399,no counterexample
airplain,ode,f2,new,4,0.008009888,0.457037291,no counterexample
airplain,ode,f2,new,5,0.009412283,42.54975479,no counterexample
airplain,ode,f3,new,1,0.005183844,0.049839911,counterexample found
airplain,ode,f3,new,2,0.007669539,0.654991482,counterexample found
airplain,ode,f3,new,3,0.011286058,569.7537559,counterexample found
airplain,ode,f3,new,4,0.015270628,13939.72006,counterexample found
airplain,ode,f4,new,1,0.004749351,0.08058396,no counterexample
airplain,ode,f4,new,2,0.006674151,8.22751251,no counterexample
airplain,ode,f4,new,3,0.008231457,352.72074,no counterexample
car,ode,f1,new,1,0.00157059,0.275005973,counterexample found
car,ode,f1,new,2,0.001612943,0.571346829,counterexample found
car,ode,f1,new,3,0.002052275,0.994895462,counterexample found
car,ode,f1,new,4,0.002550277,1.771957465,counterexample found
car,ode,f1,new,5,0.003088091,2.602575633,counterexample found
car,ode,f2,new,1,0.00187999,0.036333795,no counterexample
car,ode,f2,new,2,0.001937975,0.053216177,no counterexample
car,ode,f2,new,3,0.002592066,0.40807224,no counterexample
car,ode,f2,new,4,0.003336243,0.713251683,no counterexample
car,ode,f2,new,5,0.004543643,0.210269055,no counterexample
car,ode,f3,new,1,0.002564016,0.283231806,counterexample found
car,ode,f3,new,2,0.002536829,0.612240742,counterexample found
car,ode,f3,new,3,0.004381233,1.177700993,counterexample found
car,ode,f3,new,4,0.005836761,1.540424595,counterexample found
car,ode,f3,new,5,0.007527425,3.656485671,counterexample found
car,ode,f4,new,1,0.002877977,0.059112555,no counterexample
car,ode,f4,new,2,0.003644696,0.707042486,no counterexample
car,ode,f4,new,3,0.0039485,35.489979,no counterexample
car,ode,f4,new,4,0.005849204,836.5111135,no counterexample
thermo,ode,f1,new,1,0.001029204,0.027088202,counterexample found
thermo,ode,f1,new,2,0.001305377,0.025758927,counterexample found
thermo,ode,f1,new,3,0.001641182,0.026827157,counterexample found
thermo,ode,f1,new,4,0.002224673,0.056896798,counterexample found
thermo,ode,f1,new,5,0.00177293,23.26109143,counterexample found
thermo,ode,f2,new,1,0.001517612,0.01422508,no counterexample
thermo,ode,f2,new,2,0.0019273,0.027234895,no counterexample
thermo,ode,f2,new,3,0.002262249,0.442583949,no counterexample
thermo,ode,f2,new,4,0.001879632,3.515155057,no counterexample
thermo,ode,f2,new,5,0.002651657,20.75242206,no counterexample
thermo,ode,f3,new,1,0.003093246,0.023402071,counterexample found
thermo,ode,f3,new,2,0.003950756,4.31432116,counterexample found
thermo,ode,f3,new,3,0.006788394,52.46931582,counterexample found
thermo,ode,f4,new,1,0.002367117,0.017678198,no counterexample
thermo,ode,f4,new,2,0.002979253,0.024611903,no counterexample
thermo,ode,f4,new,3,0.003443872,0.037545316,no counterexample
thermo,ode,f4,new,4,0.00478561,0.057415846,no counterexample
thermo,ode,f4,new,5,0.006282991,0.106489977,no counterexample
water,ode,f1,new,1,0.00107766,0.027959374,counterexample found
water,ode,f1,new,2,0.001485066,0.031115909,counterexample found
water,ode,f1,new,3,0.002587226,0.044818936,counterexample found
water,ode,f1,new,4,0.002163301,2.939549523,counterexample found
water,ode,f1,new,5,0.001837844,14.28704529,counterexample found
water,ode,f2,new,1,0.00336777,0.023066218,no counterexample
water,ode,f2,new,2,0.002072709,0.027605358,no counterexample
water,ode,f2,new,3,0.002868379,0.14287172,no counterexample
water,ode,f2,new,4,0.003291387,2.824667126,no counterexample
water,ode,f2,new,5,0.003326165,17.53508435,no counterexample
water,ode,f3,new,1,0.003248502,0.025512372,counterexample found
water,ode,f3,new,2,0.004670564,0.104150539,counterexample found
water,ode,f3,new,3,0.007238492,125.0465007,counterexample found
water,ode,f4,new,1,0.004378353,0.018783333,no counterexample
water,ode,f4,new,2,0.00312181,0.028232694,no counterexample
water,ode,f4,new,3,0.004825073,0.038584939,no counterexample
water,ode,f4,new,4,0.006663429,0.051581972,no counterexample
water,ode,f4,new,5,0.006768382,0.100724884,no counterexample
battery,ode,f1,new,1,0.0019445,0.04969972,counterexample found
battery,ode,f1,new,2,0.002216999,0.064501858,counterexample found
battery,ode,f1,new,3,0.003611123,0.137462592,counterexample found
battery,ode,f1,new,4,0.00431508,0.162888677,counterexample found
battery,ode,f1,new,5,0.004398512,15.60468043,counterexample found
battery,ode,f2,new,1,0.001979819,0.026489002,no counterexample
battery,ode,f2,new,2,0.002288775,0.044922185,no counterexample
battery,ode,f2,new,3,0.003669259,0.090574943,no counterexample
battery,ode,f2,new,4,0.00447028,2.264376785,no counterexample
battery,ode,f2,new,5,0.004497917,37.51446619,no counterexample
battery,ode,f3,new,1,0.002773294,0.040063532,counterexample found
battery,ode,f3,new,2,0.003226503,0.07270586,counterexample found
battery,ode,f4,new,1,0.00320549,0.03916197,no counterexample
battery,ode,f4,new,2,0.00421728,214.150745,no counterexample
battery,ode,f4,new,3,0.00679828,6188.39899,no counterexample
airplain,ode,f1,old,1,0.003445827,0.09181041,counterexample found
airplain,ode,f1,old,2,0.00573892,70.35241676,counterexample found
airplain,ode,f1,old,3,0.007283491,1578.08363,counterexample found
airplain,ode,f2,old,1,0.00287595,1809.169195,no counterexample
car,ode,f1,old,1,0.002071542,0.277360974,counterexample found
car,ode,f1,old,2,0.002590653,0.338488052,counterexample found
car,ode,f1,old,3,0.00397791,34.52758067,counterexample found
car,ode,f1,old,4,0.005368716,3.311101411,counterexample found
car,ode,f1,old,5,0.00674978,117.5638882,counterexample found
car,ode,f2,old,1,0.002537223,1.184169131,no counterexample
car,ode,f2,old,2,0.003458149,487.9764889,no counterexample
car,ode,f3,old,1,0.007399734,6.182181177,counterexample found
car,ode,f3,old,2,0.011660466,13.39262153,counterexample found
car,ode,f3,old,3,0.016995859,61.58067546,counterexample found
thermo,ode,f1,old,1,0.001455988,0.099761703,counterexample found
thermo,ode,f1,old,2,0.002347397,138.532618,counterexample found
thermo,ode,f1,old,3,0.002622586,11854.97642,counterexample found
thermo,ode,f2,old,1,0.00169459,0.549027569,no counterexample
thermo,ode,f2,old,2,0.003090276,142.8507852,no counterexample
water,ode,f1,old,1,0.003485739,174.0307463,counterexample found
water,ode,f2,old,1,0.00284759,0.77642121,no counterexample
water,ode,f2,old,2,0.0035261,172.1438337,no counterexample
battery,ode,f2,old,1,0.00372819,0.058739789,no counterexample
battery,ode,f2,old,2,0.00264517,0.115488339,no counterexample